episode,meanR2C,meanSaturation
0,1.0,0.2612910332672395
1,1.0,0.21146643618553732
2,1.0,0.3409809594294557
3,1.0,0.20956758597208033
4,1.0,0.20271862968492185
5,1.0,0.17765195080951957
6,1.0,0.26318063958513394
7,1.0,0.2306581059390048
8,1.0,0.2562900668642724
9,1.0,0.22950344327654945
10,1.0,0.27102028504637654
11,1.0,0.19980459208597945
12,1.0,0.2634864314343912
13,1.0,0.2590253307625823
14,1.0,0.25350664610413454
15,1.0,0.2054367524465386
16,1.0,0.14644194756554307
17,1.0,0.2657056038442513
18,1.0,0.27936972275779537
19,1.0,0.2632596351335025
20,1.0,0.24408633944411595
21,1.0,0.18780096308186195
22,1.0,0.27541154951659264
23,1.0,0.18974626088250612
24,1.0,0.19502407704654895
25,1.0,0.20939057965622443
26,1.0,0.27270750271837624
27,1.0,0.1576314278684491
28,1.0,0.19694132334581774
29,1.0,0.26738728488124025
30,1.0,0.21600550332492546
31,1.0,0.2112075096003414
32,1.0,0.12283517783222096
